tick,0,1,2,3,4,5
4.6000000000000005,27,2,-68,24,57,-50
4.61,26,4,-69,23,58,-49
4.62,25,6,-69,21,59,-48
4.63,24,7,-69,19,60,-46
4.64,23,9,-69,19,60,-45
4.65,22,10,-69,17,61,-43
4.66,21,12,-69,15,62,-43
4.67,20,14,-69,13,63,-41
4.68,19,15,-69,12,64,-39
4.69,18,17,-69,10,64,-38
4.7,17,19,-69,8,65,-36
4.71,16,20,-69,6,66,-34
4.72,15,22,-69,5,66,-33
4.73,14,24,-69,3,67,-31
4.74,12,25,-68,1,67,-29
4.75,11,27,-68,0,68,-28
4.76,10,29,-67,-1,68,-26
4.7700000000000005,9,31,-67,-3,68,-25
4.78,7,32,-66,-4,69,-22
4.79,6,34,-66,-6,69,-21
4.8,4,36,-65,-8,69,-19
4.8100000000000005,3,38,-64,-10,69,-17
4.82,1,40,-63,-12,69,-14
4.83,0,42,-62,-14,69,-12
4.84,-1,43,-61,-16,69,-11
4.8500000000000005,-2,45,-60,-18,69,-9
4.86,-4,47,-59,-20,69,-6
4.87,-5,49,-58,-22,69,-5
4.88,-7,51,-57,-24,68,-2
4.89,-9,52,-55,-27,68,0
4.9,-11,54,-53,-29,67,1
4.91,-13,56,-51,-32,67,4
4.92,-14,58,-49,-34,66,6
4.93,-16,59,-47,-37,65,9
4.94,-18,61,-44,-40,63,12
4.95,-20,62,-42,-43,62,15
4.96,-22,64,-39,-45,60,18
4.97,-24,65,-36,-48,59,21
4.98,-25,66,-33,-50,57,24
4.99,-27,67,-31,-52,55,26
5.0,-28,68,-28,-54,53,29
5.01,-30,68,-25,-56,51,32
5.0200000000000005,-31,69,-21,-59,48,36
5.03,-33,69,-18,-60,45,39
5.04,-34,69,-15,-62,43,42
5.05,-35,69,-12,-63,40,44
5.0600000000000005,-36,69,-9,-65,37,47
5.07,-37,69,-7,-66,35,49
5.08,-38,69,-4,-67,32,51
5.09,-38,68,-1,-67,29,53
5.1000000000000005,-39,68,0,-68,27,55
5.11,-40,67,2,-68,24,57
5.12,-40,66,5,-69,22,58
5.13,-41,66,7,-69,20,59
5.14,-41,65,9,-69,18,60
5.15,-41,64,11,-69,16,62
5.16,-42,63,13,-69,13,63
5.17,-42,62,15,-69,12,64
5.18,-42,61,17,-69,10,65
5.19,-43,60,19,-69,8,65
5.2,-43,59,21,-69,6,66
5.21,-43,58,23,-69,4,67
5.22,-43,56,25,-68,2,67
5.23,-43,55,26,-68,1,68
5.24,-43,54,28,-68,0,68
5.25,-43,52,30,-67,-2,68
5.26,-43,51,32,-67,-4,69
5.2700000000000005,-43,50,33,-66,-6,69
5.28,-43,48,35,-66,-7,69
5.29,-43,47,37,-65,-8,69
5.3,-43,45,39,-64,-11,69
5.3100000000000005,-42,44,40,-63,-13,69
5.32,-42,43,41,-62,-14,69
5.33,-42,41,43,-62,-16,69
5.34,-42,39,45,-61,-18,69
5.3500000000000005,-41,38,46,-60,-19,69
5.36,-41,37,47,-59,-20,69
5.37,-41,35,49,-58,-22,69
5.38,-40,33,50,-57,-24,69
5.39,-40,32,51,-56,-25,68
5.4,-40,30,53,-54,-28,68
5.41,-39,28,54,-53,-29,67
5.42,-39,27,55,-52,-30,67
5.43,-38,25,56,-51,-32,67
5.44,-38,24,57,-50,-34,66
5.45,-37,22,58,-48,-35,66
5.46,-37,20,59,-47,-36,65
5.47,-36,19,60,-45,-39,64
5.48,-36,17,61,-44,-40,63
5.49,-35,15,62,-43,-41,63
5.5,-34,13,63,-41,-43,62
5.51,-34,12,64,-39,-45,61
5.5200000000000005,-33,10,64,-38,-46,60
